Symbol,Name,Sector,Industry
LMT,Lockheed Martin Corporation Common Stock,Industrials,Aerospace
LNG,Cheniere Energy Inc. Common Stock,Utilities,Oil/Gas Transmission
LNT,Alliant Energy Corporation Common Stock,Utilities,Power Generation
LOW,Lowe's Companies Inc. Common Stock,Consumer Discretionary,RETAIL: Building Materials
LPLA,LPL Financial Holdings Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
LRCX,Lam Research Corporation Common Stock,Technology,Industrial Machinery/Components
LSI,Life Storage Inc. Common Stock,Real Estate,Real Estate Investment Trusts
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,Consumer Discretionary,Broadcasting
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,Consumer Discretionary,Broadcasting
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,Consumer Discretionary,Broadcasting
LULU,lululemon athletica inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
LUMN,Lumen Technologies Inc. Common Stock,Telecommunications,Telecommunications Equipment
LUV,Southwest Airlines Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services
LVS,Las Vegas Sands Corp. Common Stock,Consumer Discretionary,Hotels/Resorts
LW,Lamb Weston Holdings Inc. Common Stock ,Consumer Staples,Specialty Foods
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),Industrials,Major Chemicals
LYG,Lloyds Banking Group Plc American Depositary Shares,Finance,Commercial Banks
LYV,Live Nation Entertainment Inc. Common Stock,Consumer Discretionary,Movies/Entertainment
MA,Mastercard Incorporated Common Stock,Consumer Discretionary,Business Services
MAA,Mid-America Apartment Communities Inc. Common Stock,Real Estate,Real Estate Investment Trusts
MAR,Marriott International Class A Common Stock,Consumer Discretionary,Hotels/Resorts
MAS,Masco Corporation Common Stock,Industrials,Building Products
MCD,McDonald's Corporation Common Stock,Consumer Discretionary,Restaurants
MCHP,Microchip Technology Incorporated Common Stock,Technology,Semiconductors
MCK,McKesson Corporation Common Stock,Health Care,Other Pharmaceuticals
MCO,Moody's Corporation Common Stock,Finance,Advertising
MDB,MongoDB Inc. Class A Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
MDLZ,Mondelez International Inc. Class A Common Stock,Consumer Staples,Meat/Poultry/Fish
MDT,Medtronic plc. Ordinary Shares,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MELI,MercadoLibre Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
MET,MetLife Inc. Common Stock,Finance,Life Insurance
META,Meta Platforms Inc. Class A Common Stock,Technology,Internet and Information Services
MFC,Manulife Financial Corporation Common Stock,Consumer Discretionary,Advertising
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),Finance,Major Banks
MGA,Magna International Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
MGM,MGM Resorts International Common Stock,Consumer Discretionary,Hotels/Resorts
MKC,McCormick & Company Incorporated Common Stock,Consumer Staples,Farming/Seeds/Milling
MKL,Markel Corporation Common Stock,Finance,Property-Casualty Insurers
MLM,Martin Marietta Materials Inc. Common Stock,Industrials,Building Materials
MMC,Marsh & McLennan Companies Inc. Common Stock,Finance,Specialty Insurers
MMM,3M Company Common Stock,Industrials,Consumer Electronics/Appliances
MMP,Magellan Midstream Partners L.P. Limited Partnership,Energy,Oil & Gas Production
MNST,Monster Beverage Corporation,Consumer Staples,Beverages (Production/Distribution)
MO,Altria Group Inc.,Health Care, Medicinal Chemicals and Botanical Products 
MOH,Molina Healthcare Inc Common Stock,Health Care,Medical Specialities
MORN,Morningstar Inc. Common Stock,Finance,Advertising
MOS,Mosaic Company (The) Common Stock,Industrials,Agricultural Chemicals
MPC,Marathon Petroleum Corporation Common Stock,Energy,Integrated oil Companies
MPLX,MPLX LP Common Units Representing Limited Partner Interests,Energy,Oil & Gas Production
MPWR,Monolithic Power Systems Inc. Common Stock,Technology,Semiconductors
MRK,Merck & Company Inc. Common Stock (new),Health Care,Biotechnology: Pharmaceutical Preparations
MRNA,Moderna Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MRO,Marathon Oil Corporation Common Stock,Energy,Oil & Gas Production
MRVL,Marvell Technology Inc. Common Stock,Technology,Semiconductors
MS,Morgan Stanley Common Stock,Finance,Investment Bankers/Brokers/Service
MSCI,MSCI Inc Common Stock,Finance,Advertising
MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software
MSI,Motorola Solutions Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
MT,Arcelor Mittal NY Registry Shares NEW,Industrials,Steel/Iron Ore
MTB,M&T Bank Corporation Common Stock,Finance,Major Banks
MTCH,Match Group Inc. Common Stock,Technology,Computer Software: Programming Data Processing
MTD,Mettler-Toledo International Inc. Common Stock,Health Care,Medical Specialities
MU,Micron Technology Inc. Common Stock,Technology,Semiconductors
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,Finance,Commercial Banks
NBIX,Neurocrine Biosciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NDAQ,Nasdaq Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
NDSN,Nordson Corporation Common Stock,Industrials,Industrial Machinery/Components
NEE,NextEra Energy Inc. Common Stock,Utilities,Electric Utilities: Central
NEM,Newmont Corporation,Basic Materials,Precious Metals
NET,Cloudflare Inc. Class A Common Stock,Technology,EDP Services
NFE,New Fortress Energy Inc. Class A Common Stock,Utilities,Oil/Gas Transmission
NFLX,Netflix Inc. Common Stock,Consumer Discretionary,Consumer Electronics/Video Chains
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares,Utilities,Natural Gas Distribution
NI,NiSource Inc Common Stock,Utilities,Power Generation
NICE,NICE Ltd American Depositary Shares,Technology,Computer Manufacturing
NIO,NIO Inc. American depositary shares each  representing one Class A ordinary share,Finance,Finance Companies
NKE,Nike Inc. Common Stock,Consumer Discretionary,Shoe Manufacturing
NLOK,NortonLifeLock Inc. Common Stock,Technology,Computer Software: Prepackaged Software
NLSN,Nielsen N.V. Ordinary Shares,Consumer Discretionary,Business Services
NLY,Annaly Capital Management Inc Common Stock,Real Estate,Real Estate Investment Trusts
NMR,Nomura Holdings Inc ADR American Depositary Shares,Finance,Investment Bankers/Brokers/Service
NOC,Northrop Grumman Corporation Common Stock,Technology,Security Systems Services
NOK,Nokia Corporation Sponsored American Depositary Shares,Technology,Radio And Television Broadcasting And Communications Equipment
NOW,ServiceNow Inc. Common Stock,Technology,Computer Software: Prepackaged Software
NRG,NRG Energy Inc. Common Stock,Utilities,Electric Utilities: Central
NSC,Norfolk Southern Corporation Common Stock,Industrials,Railroads
NTAP,NetApp Inc. Common Stock,Technology,Electronic Components
NTES,NetEase Inc. American Depositary Shares,Consumer Discretionary,Recreational Games/Products/Toys
NTR,Nutrien Ltd. Common Shares,Industrials,Agricultural Chemicals
NTRS,Northern Trust Corporation Common Stock,Finance,Trusts Except Educational Religious and Charitable
NU,Nu Holdings Ltd. Class A Ordinary Shares,,
NUE,Nucor Corporation Common Stock,Industrials,Steel/Iron Ore
NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors
NVO,Novo Nordisk A/S Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NVR,NVR Inc. Common Stock,Consumer Discretionary,Homebuilding
NVS,Novartis AG Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NWG,NatWest Group plc American Depositary Shares (each representing two (2) Ordinary Shares),Finance,Commercial Banks
NWS,News Corporation Class B Common Stock,Consumer Discretionary,Movies/Entertainment
NWSA,News Corporation Class A Common Stock,Consumer Discretionary,Movies/Entertainment
NXPI,NXP Semiconductors N.V. Common Stock,Technology,Semiconductors
O,Realty Income Corporation Common Stock,Real Estate,Real Estate Investment Trusts
ODFL,Old Dominion Freight Line Inc. Common Stock,Industrials,Trucking Freight/Courier Services
OKE,ONEOK Inc. Common Stock,Utilities,Oil & Gas Production
OKTA,Okta Inc. Class A Common Stock,Technology,EDP Services
OMC,Omnicom Group Inc. Common Stock,Consumer Discretionary,Advertising
ON,ON Semiconductor Corporation Common Stock,Technology,Semiconductors
ORAN,Orange,Telecommunications,Telecommunications Equipment
ORCL,Oracle Corporation Common Stock,Technology,Computer Software: Prepackaged Software
ORLY,O'Reilly Automotive Inc. Common Stock,Consumer Discretionary,Auto & Home Supply Stores
OTIS,Otis Worldwide Corporation Common Stock ,,
OVV,Ovintiv Inc. (DE),Energy,Oil & Gas Production
OXY,Occidental Petroleum Corporation Common Stock,Energy,Oil & Gas Production
PANW,Palo Alto Networks Inc. Common Stock,Technology,EDP Services
PARA,Paramount Global Class B Common Stock,Consumer Discretionary,Movies/Entertainment
PARAA,Paramount Global Class A Common Stock,Consumer Discretionary,Movies/Entertainment
PAYC,Paycom Software Inc. Common Stock,Technology,Computer Software: Prepackaged Software
PAYX,Paychex Inc. Common Stock,Consumer Discretionary,Business Services
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),Energy,Oil & Gas Production
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,Energy,Oil & Gas Production
PCAR,PACCAR Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks
PCG,Pacific Gas & Electric Co. Common Stock,Utilities,Power Generation
PCTY,Paylocity Holding Corporation Common Stock,Technology,Computer Software: Prepackaged Software
PDD,Pinduoduo Inc. American Depositary Shares,Consumer Discretionary,Catalog/Specialty Distribution
PEAK,Healthpeak Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
PEG,Public Service Enterprise Group Incorporated Common Stock,Utilities,Power Generation
PEP,PepsiCo Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
PFE,Pfizer Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
PFG,Principal Financial Group Inc Common Stock,Finance,Investment Managers
PG,Procter & Gamble Company (The) Common Stock,Consumer Discretionary,Package Goods/Cosmetics
PGR,Progressive Corporation (The) Common Stock,Finance,Property-Casualty Insurers
PH,Parker-Hannifin Corporation Common Stock,Industrials,Office Equipment/Supplies/Services
PHG,Koninklijke Philips N.V. NY Registry Shares,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
PHM,PulteGroup Inc. Common Stock,,
PINS,Pinterest Inc. Class A Common Stock,Technology,Interactive Media
PKG,Packaging Corporation of America Common Stock,Basic Materials,Paper
PKI,PerkinElmer Inc. Common Stock,Health Care,Medical Specialities
PKX,POSCO Holdings Inc. American Depositary Shares (Each representing 1/4th of a share of Common Stock),Industrials,Steel/Iron Ore
PLD,Prologis Inc. Common Stock,Real Estate,Real Estate Investment Trusts
PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
PLUG,Plug Power Inc. Common Stock,Consumer Discretionary,Electrical Products
PM,Philip Morris International Inc Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
PNC,PNC Financial Services Group Inc. (The) Common Stock,Finance,Major Banks
PODD,Insulet Corporation Common Stock,Health Care,Medical/Dental Instruments
POOL,Pool Corporation Common Stock,Industrials,Industrial Machinery/Components
PPG,PPG Industries Inc. Common Stock,Consumer Discretionary,Paints/Coatings
PPL,PPL Corporation Common Stock,Utilities,Electric Utilities: Central
PRU,Prudential Financial Inc. Common Stock,Finance,Life Insurance
PSA,Public Storage Common Stock,Real Estate,Real Estate Investment Trusts
PSNY,Polestar Automotive Holding UK PLC Class A ADS,,
PSX,Phillips 66 Common Stock,Energy,Integrated oil Companies
PTC,PTC Inc. Common Stock,Technology,Computer Software: Prepackaged Software
PUK,Prudential Public Limited Company Common Stock,Finance,Life Insurance
PWR,Quanta Services Inc. Common Stock,Industrials,Engineering & Construction
PXD,Pioneer Natural Resources Company Common Stock,Energy,Oil & Gas Production
PYPL,PayPal Holdings Inc. Common Stock,Consumer Discretionary,Business Services
QCOM,QUALCOMM Incorporated Common Stock,Technology,Computer peripheral equipment
QGEN,Qiagen N.V. Common Shares ,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
QSR,Restaurant Brands International Inc. Common Shares,,
RACE,Ferrari N.V. Common Shares,Consumer Discretionary,Auto Manufacturing
RBLX,Roblox Corporation Class A Common Stock,Technology,EDP Services
RCI,Rogers Communication Inc. Common Stock,,
RCL,D/B/A Royal Caribbean Cruises Ltd. Common Stock,Consumer Discretionary,Hotels/Resorts
RE,Everest Re Group Ltd. Common Stock,Finance,Property-Casualty Insurers
REG,Regency Centers Corporation Common Stock,Real Estate,Real Estate Investment Trusts
REGN,Regeneron Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),Consumer Discretionary,Publishing
REXR,Rexford Industrial Realty Inc. Common Stock,Real Estate,Real Estate Investment Trusts
RF,Regions Financial Corporation Common Stock,Finance,Major Banks
RGEN,Repligen Corporation Common Stock,Health Care,Medical/Dental Instruments
RIO,Rio Tinto Plc Common Stock,Basic Materials,Metal Mining
RIVN,Rivian Automotive Inc. Class A Common Stock,Consumer Discretionary,Auto Manufacturing
RJF,Raymond James Financial Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
RMD,ResMed Inc. Common Stock,Health Care,Medical/Dental Instruments
ROK,Rockwell Automation Inc. Common Stock,Industrials,Industrial Machinery/Components
ROL,Rollins Inc. Common Stock,Consumer Discretionary,Industrial Specialties
ROP,Roper Technologies Inc. Common Stock,Industrials,Office Equipment/Supplies/Services
ROST,Ross Stores Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
RPM,RPM International Inc. Common Stock,Consumer Discretionary,Paints/Coatings
RPRX,Royalty Pharma plc Class A Ordinary Shares ,Health Care,Biotechnology: Pharmaceutical Preparations
RS,Reliance Steel & Aluminum Co. Common Stock (DE),Industrials,Steel/Iron Ore
RSG,Republic Services Inc. Common Stock,Utilities,Environmental Services
RTX,Raytheon Technologies Corporation Common Stock,Industrials,Military/Government/Technical
RY,Royal Bank Of Canada Common Stock,,
RYAAY,Ryanair Holdings plc American Depositary Shares,Consumer Discretionary,Air Freight/Delivery Services
SAN,Banco Santander S.A. Sponsored ADR (Spain),Finance,Commercial Banks
SAP,SAP  SE ADS,Technology,EDP Services
SBAC,SBA Communications Corporation Class A Common Stock,Real Estate,Real Estate Investment Trusts
SBNY,Signature Bank Common Stock,Finance,Major Banks
SBUX,Starbucks Corporation Common Stock,Consumer Discretionary,Beverages - Non-Alcoholic
SCCO,Southern Copper Corporation Common Stock,Basic Materials,Metal Mining
SCHW,Charles Schwab Corporation (The) Common Stock,Finance,Investment Bankers/Brokers/Service
SCI,Service Corporation International Common Stock,Consumer Discretionary,Other Consumer Services
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,Technology,Computer Software: Prepackaged Software
SEDG,SolarEdge Technologies Inc. Common Stock,Technology,Semiconductors
SGEN,Seagen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SHEL,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,Energy,Oil & Gas Production
SHG,Shinhan Financial Group Co Ltd American Depositary Shares,Finance,Major Banks
SHOP,Shopify Inc. Class A Subordinate Voting Shares,,
SHW,Sherwin-Williams Company (The) Common Stock,Consumer Discretionary,Paints/Coatings
SIRI,Sirius XM Holdings Inc. Common Stock,Consumer Discretionary,Movies/Entertainment
SIVB,SVB Financial Group Common Stock,Finance,Major Banks
SJM,J.M. Smucker Company (The) New Common Stock,Consumer Staples,Packaged Foods
SJR,Shaw Communications Inc. Common Stock,,
SLB,Schlumberger N.V. Common Stock,Energy,Oilfield Services/Equipment
SLF,Sun Life Financial Inc. Common Stock,Consumer Discretionary,Advertising
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),Finance,Commercial Banks
SNA,Snap-On Incorporated Common Stock,Consumer Discretionary,Diversified Manufacture
SNAP,Snap Inc. Class A Common Stock,Technology,Internet and Information Services
SNN,Smith & Nephew SNATS Inc. Common Stock,Health Care,Industrial Specialties
SNOW,Snowflake Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
SNPS,Synopsys Inc. Common Stock,Technology,EDP Services
SNY,Sanofi ADS,Health Care,Biotechnology: Pharmaceutical Preparations
SO,Southern Company (The) Common Stock,Utilities,Power Generation
SONY,Sony Group Corporation American Depositary Shares ,Consumer Staples,Consumer Electronics/Appliances
SPG,Simon Property Group Inc. Common Stock,Real Estate,Real Estate Investment Trusts
SPGI,S&P Global Inc. Common Stock,Finance,Advertising
SPLK,Splunk Inc. Common Stock,Technology,Computer Software: Prepackaged Software
SPOT,Spotify Technology S.A. Ordinary Shares,Consumer Discretionary,Broadcasting
SQ,Block Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
SQM,Sociedad Quimica y Minera S.A. Common Stock,Industrials,Agricultural Chemicals
SRE,DBA Sempra Common Stock,Utilities,Oil/Gas Transmission
SRPT,Sarepta Therapeutics Inc. Common Stock (DE),Health Care,Biotechnology: Pharmaceutical Preparations
SSL,Sasol Ltd. American Depositary Shares,Energy,Oil & Gas Production
SSNC,SS&C Technologies Holdings Inc. Common Stock,Technology,EDP Services
STE,STERIS plc (Ireland) Ordinary Shares,Health Care,Industrial Specialties
STLA,Stellantis N.V. Common Shares,Consumer Discretionary,Auto Manufacturing
STLD,Steel Dynamics Inc.,Industrials,Steel/Iron Ore
STM,STMicroelectronics N.V. Common Stock,Technology,Semiconductors
STT,State Street Corporation Common Stock,Finance,Investment Managers
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),Technology,Electronic Components
STZ,Constellation Brands Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
SU,Suncor Energy  Inc. Common Stock,,
SUI,Sun Communities Inc. Common Stock,Real Estate,Real Estate Investment Trusts
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share),Basic Materials,Paper
SWAV,ShockWave Medical Inc. Common Stock,Health Care,Medical/Dental Instruments
SWK,Stanley Black & Decker Inc. Common Stock,Consumer Discretionary,Diversified Manufacture
SWKS,Skyworks Solutions Inc. Common Stock,Technology,Semiconductors
SYF,Synchrony Financial Common Stock,Finance,Diversified Financial Services
SYK,Stryker Corporation Common Stock,Health Care,Medical/Dental Instruments
SYY,Sysco Corporation Common Stock,Consumer Discretionary,Food Distributors
T,AT&T Inc.,Consumer Discretionary,Telecommunications Equipment
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock),Health Care,Biotechnology: Pharmaceutical Preparations
TAP,Molson Coors Beverage Company Class B Common Stock,Consumer Staples,Beverages (Production/Distribution)
TCOM,Trip.com Group Limited American Depositary Shares,Consumer Discretionary,Business Services
TD,Toronto Dominion Bank (The) Common Stock,,
TDG,Transdigm Group Incorporated Common Stock,Industrials,Military/Government/Technical
TDY,Teledyne Technologies Incorporated Common Stock,Industrials,Industrial Machinery/Components
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,Technology,Computer Software: Prepackaged Software
TECH,Bio-Techne Corp Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TECK,Teck Resources Ltd Ordinary Shares,,
TEF,Telefonica SA Common Stock,Telecommunications,Telecommunications Equipment
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,Technology,Industrial Machinery/Components
TER,Teradyne Inc. Common Stock,Industrials,Electrical Products
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
TFC,Truist Financial Corporation Common Stock,Finance,Major Banks
TFX,Teleflex Incorporated Common Stock,Health Care,Medical/Dental Instruments
TGT,Target Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
TJX,TJX Companies Inc. (The) Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
TLK,PT Telekomunikasi Indonesia Tbk,Telecommunications,Telecommunications Equipment
TM,Toyota Motor Corporation Common Stock,Consumer Discretionary,Auto Manufacturing
TMO,Thermo Fisher Scientific Inc Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
TMUS,T-Mobile US Inc. Common Stock,Telecommunications,Telecommunications Equipment
TOST,Toast Inc. Class A Common Stock,Technology,EDP Services
TPL,Texas Pacific Land Corporation Common Stock,Energy,Oil & Gas Production
TRGP,Targa Resources Inc. Common Stock,Utilities,Natural Gas Distribution
TRI,Thomson Reuters Corp Ordinary Shares,,
TRMB,Trimble Inc. Common Stock,Industrials,Industrial Machinery/Components
TROW,T. Rowe Price Group Inc. Common Stock,Finance,Investment Managers
TRP,TC Energy Corporation Common Stock,,
TRU,TransUnion Common Stock,Finance,Advertising
TRV,The Travelers Companies Inc. Common Stock,Finance,Property-Casualty Insurers
TS,Tenaris S.A. American Depositary Shares,Industrials,Steel/Iron Ore
TSCO,Tractor Supply Company Common Stock,Consumer Discretionary,Other Specialty Stores
TSLA,Tesla Inc. Common Stock,Consumer Discretionary,Auto Manufacturing
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors
TSN,Tyson Foods Inc. Common Stock,Consumer Staples,Meat/Poultry/Fish
TT,Trane Technologies plc,Industrials,Industrial Machinery/Components
TTD,The Trade Desk Inc. Class A Common Stock,Technology,EDP Services
TTE,TotalEnergies SE,Energy,Oil & Gas Production
TTM,Tata Motors Ltd Tata Motors Limited,Consumer Discretionary,Auto Manufacturing
TTWO,Take-Two Interactive Software Inc. Common Stock,Technology,Computer Software: Prepackaged Software
TU,Telus Corporation Ordinary Shares,,
TW,Tradeweb Markets Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service
TWLO,Twilio Inc. Class A Common Stock,Industrials,Industrial Machinery/Components
TWTR,Twitter Inc. Common Stock,Technology,EDP Services
TXN,Texas Instruments Incorporated Common Stock,Technology,Semiconductors
TXT,Textron Inc. Common Stock,Industrials,Aerospace
TYL,Tyler Technologies Inc. Common Stock,Technology,Computer Software: Prepackaged Software
U,Unity Software Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
UAL,United Airlines Holdings Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
UBER,Uber Technologies Inc. Common Stock,Technology,EDP Services
UBS,UBS Group AG Registered Ordinary Shares,Finance,Major Banks
UDR,UDR Inc. Common Stock,Real Estate,Real Estate Investment Trusts
UHAL,Amerco Common Stock,Consumer Discretionary,Rental/Leasing Companies
UI,Ubiquiti Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
UL,Unilever PLC Common Stock,Consumer Discretionary,Package Goods/Cosmetics
ULTA,Ulta Beauty Inc. Common Stock,,
UMC,United Microelectronics Corporation (NEW) Common Stock,Technology,Semiconductors
UNH,UnitedHealth Group Incorporated Common Stock (DE),Health Care,Medical Specialities
UNP,Union Pacific Corporation Common Stock,Industrials,Railroads
UPS,United Parcel Service Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
URI,United Rentals Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services
USB,U.S. Bancorp Common Stock,Finance,Major Banks
UTHR,United Therapeutics Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
V,Visa Inc.,Consumer Discretionary,Business Services
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,Basic Materials,Metal Mining
VEEV,Veeva Systems Inc. Class A Common Stock,Health Care,Managed Health Care
VFC,V.F. Corporation Common Stock,Consumer Discretionary,Apparel
VICI,VICI Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),Telecommunications,Telecommunications Equipment
VLO,Valero Energy Corporation Common Stock,Energy,Integrated oil Companies
VMC,Vulcan Materials Company (Holding Company) Common Stock,,
VMW,Vmware Inc. Common stock Class A,Technology,Computer Software: Prepackaged Software
VOD,Vodafone Group Plc American Depositary Shares,Telecommunications,Telecommunications Equipment
VRSK,Verisk Analytics Inc. Common Stock,Consumer Discretionary,Business Services
VRSN,VeriSign Inc. Common Stock,Technology,EDP Services
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
VST,Vistra Corp. Common Stock,Utilities,Power Generation
VTR,Ventas Inc. Common Stock,Real Estate,Real Estate Investment Trusts
VTRS,Viatris Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
VZ,Verizon Communications Inc. Common Stock,Telecommunications,Telecommunications Equipment
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,Industrials,Railroads
WAT,Waters Corporation Common Stock,Health Care,Medical Specialities
WBA,Walgreens Boots Alliance Inc. Common Stock,Consumer Staples,Retail-Drug Stores and Proprietary Stores
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,Telecommunications,Cable & Other Pay Television Services
WCN,Waste Connections Inc. Common Shares,Utilities,Power Generation
WDAY,Workday Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
WDC,Western Digital Corporation Common Stock,Technology,Electronic Components
WDS,Woodside Energy Group Limited American Depositary Shares each representing one Ordinary Share,Energy,Oil & Gas Production
WEC,WEC Energy Group Inc. Common Stock,Utilities,Power Generation
WELL,Welltower Inc. Common Stock,Real Estate,Real Estate Investment Trusts
WES,Western Midstream Partners LP Common Units Representing Limited Partner Interests,Energy,Oilfield Services/Equipment
WFC,Wells Fargo & Company Common Stock,Finance,Major Banks
WIT,Wipro Limited Common Stock,Technology,EDP Services
WLK,Westlake Corporation Common Stock,Industrials,Major Chemicals
WM,Waste Management Inc. Common Stock,Utilities,Environmental Services
WMB,Williams Companies Inc. (The) Common Stock,Utilities,Natural Gas Distribution
WMG,Warner Music Group Corp. Class A Common Stock,Consumer Discretionary,Movies/Entertainment
WMS,Advanced Drainage Systems Inc. Common Stock,Industrials,Building Products
WMT,Walmart Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
WOLF,Wolfspeed Inc. Common Stock,Technology,Semiconductors
WPC,W. P. Carey Inc. REIT,Real Estate,Real Estate Investment Trusts
WPM,Wheaton Precious Metals Corp Common Shares (Canada),,
WPP,WPP plc American Depositary Shares,,
WRB,W.R. Berkley Corporation Common Stock,Finance,Property-Casualty Insurers
WRK,Westrock Company Common Stock,,
WSM,Williams-Sonoma Inc. Common Stock (DE),Consumer Discretionary,Other Specialty Stores
WSO,Watsco Inc. Common Stock,Consumer Discretionary,Wholesale Distributors
WST,West Pharmaceutical Services Inc. Common Stock,Health Care,Medical/Dental Instruments
WTRG,Essential Utilities Inc. Common Stock,Utilities,Water Supply
WTW,Willis Towers Watson Public Limited Company Ordinary Shares,Finance,Specialty Insurers
WY,Weyerhaeuser Company Common Stock,Real Estate,Real Estate Investment Trusts
XEL,Xcel Energy Inc. Common Stock,Utilities,Power Generation
XOM,Exxon Mobil Corporation Common Stock,Energy,Oil & Gas Production
XP,XP Inc. Class A Common Stock,Finance,Investment Bankers/Brokers/Service
XPEV,XPeng Inc. American depositary shares each representing two Class A ordinary shares,Consumer Discretionary,Auto Manufacturing
XYL,Xylem Inc. Common Stock New,Industrials,Fluid Controls
Y,Alleghany Corporation Common Stock,Finance,Property-Casualty Insurers
YUM,Yum! Brands Inc.,Consumer Discretionary,Restaurants
YUMC,Yum China Holdings Inc. Common Stock,Consumer Discretionary,Restaurants
ZBH,Zimmer Biomet Holdings Inc. Common Stock,Health Care,Industrial Specialties
ZBRA,Zebra Technologies Corporation Class A Common Stock,Technology,Computer peripheral equipment
ZI,ZoomInfo Technologies Inc Common Stock,Technology,Computer Software: Prepackaged Software
ZM,Zoom Video Communications Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
ZS,Zscaler Inc. Common Stock,Technology,EDP Services
